GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory,com.hcl.cloud.inventory.service,InventoryServiceImpl,51,96,6,6,11,21,5,7,1,5
inventory,com.hcl.cloud.inventory.controller,InventoryController,50,86,4,4,10,16,6,6,2,6
inventory,com.hcl.cloud.inventory.config,RabbitmqConfig.ImplicitJsonMessageConverter,11,0,0,0,4,0,2,0,2,0
inventory,com.hcl.cloud.inventory.config,SwaggerConfiguration,0,22,0,0,0,3,0,3,0,3
inventory,com.hcl.cloud.inventory.config,RabbitmqConfig,0,42,0,0,0,10,0,6,0,6
inventory,com.hcl.cloud.inventory,ServletInitializer,12,0,0,0,2,0,2,0,2,0
inventory,com.hcl.cloud.inventory,ManageinventoryserviceApplication,5,3,0,0,2,1,1,1,1,1
inventory,com.hcl.cloud.inventory.exception,ApiRuntimeException.ErrorMessage,100,18,16,0,1,3,14,3,6,3
inventory,com.hcl.cloud.inventory.exception,GlobalErrorHandler,0,18,0,0,0,5,0,3,0,3
inventory,com.hcl.cloud.inventory.exception,ApiRuntimeException,3,26,0,0,2,7,1,3,1,3
inventory,com.hcl.cloud.inventory.dto,InventoryItem.InventoryItemBuilder,37,25,0,0,0,1,3,4,3,4
inventory,com.hcl.cloud.inventory.dto,InventoryItemResponse.InventoryItemResponseBuilder,27,35,0,0,0,1,1,6,1,6
inventory,com.hcl.cloud.inventory.dto,CustomMessageBean,43,0,0,0,13,0,7,0,7,0
inventory,com.hcl.cloud.inventory.dto,InventoryItemRequest.InventoryItemRequestBuilder,38,0,0,0,1,0,5,0,5,0
inventory,com.hcl.cloud.inventory.dto,InventoryItem,35,42,0,0,1,8,3,9,3,9
inventory,com.hcl.cloud.inventory.dto,InventoryItemRequest,21,35,0,0,2,9,2,7,2,7
inventory,com.hcl.cloud.inventory.dto,InventoryItemResponse,37,51,1,1,5,8,8,7,7,7
